hotelcode,hotelname,pricemin,pricemax
31,"The Harmonie Vienna, BW Premier Collection",219.52,374.73
56,Hotel Meda of Museum Kampa,73.46,149.51
97,Amba Hotel Charing Cross,259.76,468.83
138,Gioberti Hotel,169.66,321.84
147,Van der Valk Hotel Hildesheim,122.9,226.18
150,Holiday Inn Express London Greenwich,98.2,115.08
162,Manin Hotel,123.16,371.71
287,Hotel Mercure Beaune Centre,75.1,189.88
333,Flora,46.8,46.8
378,Hilton London Metropole Hotel,235.16,951.9
383,Mercure Maidstone Great Danes Hotel,78.4,180.56
441,Hotel San Sebastian,70.33,209.97
515,Hilton London Hyde Park,124.76,603.14
541,Crowne Plaza - Belfast,81.31,252.93
560,Hotel Demidoff,245.0,333.77
597,The Wild Boar Hotel,175.43,194.92
607,Hotel Alcantara,86.33,129.06
638,Best Western Duke Of Cornwall Hotel,59.14,197.45
652,Hotel Ca dei Conti,68.28,1004.63
654,Ibis York Centre Hotel,88.7,155.22
658,Holiday Inn Basildon,64.41,104.54
684,The Bonham Hotel,110.87,383.14
715,Best Western CTC Hotel Verona,60.28,207.96
723,Mercure Chester Abbots Well Hotel,51.53,165.78
729,Novotel Praha Wenceslas Square Hotel,87.19,118.4
793,The Riverside,126.71,142.55
822,Hotel Pace Helvezia,62.93,155.72
834,Radisson Blu Resort,220.67,656.86
858,Urban Dream Granada Hotel,41.86,141.65
861,Rilano 24/7 Munich Hotel,82.73,110.61
920,Parliament House Hotel,84.47,110.87
937,Novum Hotel Munchen - Am Hauptbahnhof,93.81,148.43
944,Amare Marbella Beach Hotel - Adults Only,112.42,441.74
989,Novotel Eindhoven,65.29,153.09
997,Hotel De Bilderberg,83.77,181.48
1072,Holiday Inn Washington,49.63,91.87
1130,DoubleTree by Hilton London Hyde Park Hotel,169.63,322.36
1145,Mercure Hull Grange Park Hotel,58.39,159.44
1179,Etoile St Honore Champs Elysees Hotel,192.13,311.44
1261,Hotel Apogia Sirio Venezia,54.57,144.67
1291,Novotel Milano Nord Ca Granda Hotel,56.96,148.69
1324,TRYP Sevilla Macarena Hotel,161.85,270.25
1328,Ametyst Hotel Praha,80.77,195.55
1353,Novotel Avignon Nord Hotel,94.43,193.69
1359,Park Inn By Radisson Copenhagen Airport,117.81,319.09
1429,Hotel Villa Carlton,152.59,338.56
1454,NH Brussels Stephanie,82.57,210.28
1456,Hyatt Regency Birmingham Hotel,116.36,657.84
1458,Ambassadors Bloomsbury Hotel,136.55,224.41
1483,Hotel les Jardins d'Eiffel,126.78,261.66
1504,Timhotel Montmartre,112.52,310.43
1506,New Hotel Bompard,63.29,162.34
1509,Aberotel Montparnasse Hotel,107.21,231.07
1520,Hotel IMLAUER & Brau,159.74,249.43
1534,Hotel Campanile Barcelona - Barbera del Valles,75.35,75.35
1549,Mercure Leicester The Grand Hotel,79.88,143.61
1605,The Thistle Bloomsbury Park Hotel,209.95,347.4
1706,Hotel La Manufacture,186.49,413.24
1786,Hotel Westminster,113.95,2556.38
1795,Hotel White Lion,85.92,85.92
1803,New Hotel Candide,121.37,137.07
1830,Best Western New York Nice,60.45,125.58
1854,Marina Hotel Corinthia Beach Resort,115.67,333.53
1908,Pedro I De Aragon Hotel,64.66,124.58
1928,Best Western Hotel Bristol,65.21,149.94
1964,Hotel Berchielli,105.19,407.53
1999,Senator Barajas Hotel,53.54,176.82
2016,Scandic Park,151.87,229.81
2057,Craiglynne Hotel,42.76,126.71
2062,Nh Atlanta Rotterdam Hotel,81.11,253.16
2076,Westside Arc de Triomphe Hotel,126.75,316.51
2095,Hotel Edouard VI,95.52,246.14
2145,Tryp Alicante Gran Sol Hotel,85.39,346.6
2165,Novotel Duesseldorf City West Seestern,63.98,142.06
2202,Radisson Blu Sky Hotel Tallinn,93.93,342.75
2243,Austria Trend Hotel Europa Graz,78.12,169.79
2248,New Hotel Vieux Port,90.42,246.35
2301,Hilton Leeds City Hotel,57.44,461.23
2352,Ibis Styles Zaragoza Ramiro I,58.07,86.76
2385,DoubleTree by Hilton Hotel Swindon,67.58,189.56
2398,Mercure London Watford Hotel,47.31,148.88
2409,Millennium Bailey's,343.6,470.31
2464,H10 Villa de la Reina Boutique Hotel,87.35,277.58
2474,Hotel San Cristobal,43.35,6436.69
2526,Hotel Francois Premier,244.2,702.24
2579,Best Western Le Galice Centre-Ville,89.35,211.82
2644,Inter-Hotel Amarys Biarritz,69.32,117.09
2685,Sheraton Heathrow Hotel,92.08,686.35
2698,Nemours Hotel,76.35,246.14
2718,ProfilHotels Mercur Hotel,74.0,575.5
2756,Mercure Poznan Hotel,67.58,135.88
2766,Hilton Belfast Hotel,100.53,366.95
2883,Edinburgh Marriott Hotel,78.14,162.61
2898,Radisson Blu Hotel Leipzig,92.02,155.95
2962,Les Nations Hotel,168.87,316.52
2993,Hotel Restaurant & Casino De Nachtegaal,90.23,120.64
3002,Holiday Inn Brentwood,76.03,137.27
3039,Sina De La Ville,225.14,708.37
3048,Ibis Styles Paris Gare Saint Lazare,90.72,129.59
3050,Hotel Windsor Savoia,85.81,163.83
3061,Villa Luxembourg Hotel,104.79,452.3
3125,Quality Hotel Delfino Venezia Mestre,40.19,352.8
3133,Best Western Plus Oxford Linton Lodge,86.92,153.55
3144,Hotel Intur Palacio San Martin,254.54,347.3
3147,Tryp Alameda Aeropuerto,62.38,221.52
3156,Britannia Leeds Hotel,38.8,93.98
3199,Hallmark Hotel Preston Leyland,112.99,1050.67
3268,Castle Green Hotel In Kendal,77.93,261.87
3279,Hotel Santa Marta,129.34,135.17
3321,Altstadt Hotel Hofwirt Salzburg,68.97,114.18
3330,Mercure Inverness Hotel,45.83,120.38
3473,Hotel London Kensington managed by Melia,228.08,495.22
3547,Ibis Zurich City West Hotel,103.58,195.54
3603,Hotel de Toulouse Centre Canal du Midi,65.6,94.88
3627,Wedgewood Hotel,76.11,225.46
3654,Scandic Strommen,65.51,182.22
3689,Tryp Ciudad de Alicante Hotel,45.21,142.66
3690,Villa Eugenie Hotel,84.02,198.42
3698,Hotel Alpha Wien,77.12,95.67
3780,Sana Rex Hotel,68.8,214.08
3817,Hotel Select,46.27,105.48
3836,Holiday Inn Express - Glasgow - City Ctr Theatreland,66.21,126.19
3924,Radisson Blu Daugava Hotel Riga,57.72,606.82
4029,Quality Hotel Abaca Paris 15,85.66,129.48
4035,Apogia Hotel,115.71,287.32
4050,Ramada by Wyndham Birmingham Solihull,121.17,225.05
4068,Hotel Olid,207.96,248.15
4099,Sheraton Amsterdam Airport Hotel and Conference Center,172.35,697.52
4153,Golden Lion Hotel,74.76,135.94
4192,Sofitel London Gatwick Hotel,138.33,300.94
4247,Crowne Plaza Limassol,123.23,296.82
4282,Thistle Barbican Shoreditch Hotel,190.07,295.66
4285,Sol Pelicanos Ocas,56.26,163.07
4289,Hotel Lindenwirt,72.3,112.58
4298,Berjaya Eden Park London Hotel,142.55,191.19
4345,"AC Hotel Guadalajara, Spain",78.57,107.19
4350,Doubletree by Hilton Luxembourg Hotel,190.61,302.82
4367,NH Dessau,83.4,118.78
4394,Lodore Falls Hotel & Spa,110.87,570.2
4429,Mercure Perth Hotel,46.57,154.17
4432,Forest Hill La Villette Hotel,99.46,975.26
4486,Hotel Moderno,70.33,80.37
4533,FH Grand Hotel Palatino,100.08,253.17
4556,Hotel Excelsior,59.12,128.98
4606,Rivoli Boutique Hotel,119.23,420.94
4623,Chichester Park Hotel,65.99,91.33
4679,Ashling Hotel,131.32,213.23
4731,Hotel Maria Cristina,96.46,105.58
4770,ibis Cremona,52.24,109.5
4837,Hotel Alaquas,47.91,155.72
4900,Hilton Bracknell Hotel,73.6,195.64
4926,Hotel Malte - Astotel,202.62,535.24
5009,Dolphin Hotel,49.87,211.18
5036,AC Hotel Irla,109.4,182.34
5081,The Bear Hotel by Greene King Inns,137.27,174.23
5135,Hotel Indigo London - Kensington,192.07,373.94
5182,Caledonian Hotel,33.26,105.59
5186,Le Regence Hotel,113.52,255.18
5211,Mercure Wien Zentrum Hotel,174.75,255.18
5334,Hotel Indigo Edinburgh - Princes Street,190.07,285.1
5344,Millennium Mayfair,551.99,2602.85
5364,Holiday Inn Basingstoke,74.97,109.82
5485,Scandic Julia,102.48,144.67
5511,Hotel Universal,30.85,82.38
5525,Timhotel Gare Montparnasse,104.48,200.93
5532,Sloane Square Hotel,184.78,348.45
5553,Scandic Ringsted,163.96,203.24
5623,Holiday Inn London Kensington Forum,176.34,355.67
5626,Mercure London Bridge,107.18,253.42
5633,"Radisson BLU Astrid Hotel, Antwerp",95.7,255.55
5663,Scandic Grand Hotel,73.61,196.84
5729,Siviglia Hotel,44.25,105.48
5810,Le Belmont Champs Elysees,253.8,617.42
5820,K West Hotel & Spa,147.03,405.47
5822,Galway Bay Hotel Conference & Leisure Centre,122.68,214.2
5828,Eliseo Hotel,80.37,185.85
5841,Hotel Le Paddock,81.78,190.88
5876,DoubleTree by Hilton Aberdeen Treetops,70.33,210.13
5912,Holiday Inn London - Heathrow M4Jct.4,76.24,142.55
6058,Hotel West End Promenade des Anglais,80.98,394.51
6081,Hilton Budapest,136.2,1785.47
6090,Holiday Inn Southampton,74.97,138.33
6166,Mercure Wetherby,88.8,148.88
6177,Kreutzwald Hotel Tallinn,56.58,1243.94
6194,Hotel des Balances,305.59,575.96
6196,Ashburn Hotel,164.35,273.48
6248,Holiday Inn Edinburgh,71.81,120.38
6255,Gran Havana Hotel,122.89,442.04
6287,Holiday Inn Express London Luton Airport,98.2,312.98
6288,Thatchers Hotel Guilford,61.75,142.54
6447,Eurostars Las Adelfas Hotel,69.32,147.68
6508,Edera Hotel,47.93,83.09
6538,Hotel Germania,61.52,129.98
6551,Europa Hotel Belfast,145.39,145.39
6596,Hotel Silva,36.62,76.86
6670,Hotel Los Bracos,58.03,134.62
6692,Comfort Hotel Davout Nation Paris 20,75.01,130.6
6711,Crowne Plaza Birmingham City,88.81,208.19
6723,Hotel Marais Bastille,91.87,168.78
6759,Holiday Inn Express London-Hammersmith,99.25,356.82
6767,Villa Toscane,92.73,222.64
6825,Timhotel Tour Eiffel,104.48,236.09
7046,Hotel & Casino Cherno More,39.7,70.97
7063,Hilton East Midlands Airport Hotel,75.18,171.32
7117,Holiday Inn Gloucester / Cheltenham,88.7,198.66
7173,Hotel Royal Continental,112.52,247.36
7179,Campanile Liverpool - Queens Dock Hotel,36.21,86.33
7181,Daniel Graz,78.76,453.09
7182,Timhotel Nation,58.27,153.71
7207,The Waterfront Hotel,69.09,184.63
7225,Royal Highland Hotel,51.81,121.73
7251,Hotel Rothenburger Hof,56.8,112.58
7277,Comfort Hotel Stockholm,110.33,143.15
7298,Splendid Hotel,52.49,75.35
7327,Tryp Zaragoza,89.41,294.35
7332,Holiday Inn Taunton,71.8,253.72
7349,Thainstone House,70.87,230.94
7359,Novotel Paris Les Halles Hotel,329.52,506.33
7386,Golf View Hotel & Spa,65.01,262.36
7411,San Giusto Hotel,54.19,65.83
7418,Holiday Inn London - Wembley,89.75,147.78
7453,Altstadthotel Kasererbraeu,62.38,151.7
7488,Radisson Blu Edwardian Kenilworth - Bloomsbury,163.67,495.23
7502,Nh Geldrop Hotel,68.94,140.62
7556,Quality Hotel Bordeaux Centre,70.17,136.42
7638,Hotel Guadalete,41.99,119.55
7645,AC Hotel Sevilla Forum,142.56,164.66
7673,Hipotel Paris Nation Gare De Lyon,141.67,153.67
7740,Novotel Marne La Vallee Noisy Le Grand Hotel,87.91,182.84
7763,Hotel Le Pierre,176.32,307.42
7856,Mercure Swansea Hotel,54.64,111.93
7943,Grand Hotel Shumen,33.86,72.02
7950,Mercure Budapest Buda Hotel,56.19,95.53
7975,Apollo Hotel London,881.48,1055.92
7991,Hilton Glasgow Hotel,88.86,340.59
8029,Van der Valk Hotel Schiphol A4-Amsterdam Airport,90.23,264.08
8042,Hilton Milton Keynes Hotel,121.64,214.36
8074,Inntel Hotels Amsterdam Zaandam,80.98,228.83
8137,Hilton Cobham,105.91,365.93
8252,Windsor Hotel,163.55,263.51
8306,Novum Hotel Prinz Eugen Wien,81.66,170.9
8385,Holiday Inn Express Greenock,66.3,72.86
8394,Holiday Inn London Brent Cross,74.97,231.0
8410,Golf Resort Achental,190.03,219.99
8414,Daresbury Park Hotel,41.18,123.54
8588,Nh Groningen Hotel,93.27,152.99
8599,Mayfair Hotel,171.79,506.33
8634,The Mandeville Hotel,182.68,791.94
8636,Holiday Inn Brno,105.22,180.69
8644,Hotel Alfonso VI,68.41,189.41
8702,Lapland Hotels Oulu,125.58,386.78
8729,London Marriott Hotel Maida Vale,277.71,685.29
8753,Mercure Newbury Elcot Park Hotel,130.93,222.8
8937,The Midland Hotel,187.58,473.94
8988,Hotel Ornato - Gruppo Mini Hotel,41.05,67.31
9047,"Thistle Trafalgar, Leicester Square",236.79,639.35
9061,Hotel Bristol Republique,71.24,148.91
9199,Ibis Budapest Heroes Square Hotel,38.68,89.44
9271,Apex City of Edinburgh Hotel,175.81,340.04
9289,Abbey Hotel,128.83,289.32
9347,FH Hotel Calzaiuoli,120.18,345.47
9387,Rathbone Hotel,93.98,205.9
9410,Holiday Inn Edinburgh City West,66.52,137.42
9425,Britannia Adelphi Hotel,40.13,127.39
9427,Royal Albion Hotel,125.66,239.17
9451,New Linden hotel,74.97,232.3
11019,Bayswater Inn Hotel,66.69,193.47
11034,Copthorne Tara Hotel London Kensington,166.31,247.09
11044,Hilton London Olympia Hotel,108.97,564.62
11045,Crowne Plaza London Kensington,237.58,778.24
11079,Hotel Astoria - Astotel,89.86,322.88
11104,Royal Hotel,212.98,412.9
11203,Hotel Piazza Venezia,230.91,244.58
11223,Torino Hotel,56.46,938.34
11250,Hotel San Cassiano - Residenza d'Epoca Ca' Favaretto,47.15,197.91
11281,Catalonia Sagrada Familia Hotel,55.25,157.22
11283,Catalonia Barcelona Plaza Hotel,90.42,576.66
11348,Le Saint-Aubert Hotel,102.6,308.84
11369,Hotel Mattle,84.0,196.91
11423,De La Pace- Sure Hotel Collection by Best Western,57.33,277.27
11435,Mokinba Hotels Baviera,90.42,160.74
11511,Astoria Hotel,78.17,124.21
